lang	pool	index	old	new	status
ru	outcome.success.easy.pool	1	"Ты дошёл.
Истина всё ещё на месте."	"Ты дошёл.
Истина осталась на своём месте."	CHANGED
ru	outcome.success.easy.pool	2	"Пусть это был лишь маленький шаг,
но ты не отступил."	"Пусть это был всего один маленький шаг,
ты всё равно не отступил."	CHANGED
ru	outcome.success.easy.pool	3	"Ты прислушался —
и путь открылся."	"Ты услышал —
и путь открылся сам."	CHANGED
ru	outcome.success.easy.pool	4	"> Ты добрался сюда.
> 
> Правила были просты —
> 
> выбор оставался за тобой."	"> Ты дошёл сюда.
>
> Правила были просты —
>
> выбор всё это время был за тобой."	CHANGED
ru	outcome.success.easy.pool	5	"> Расстояние обрело смысл.
> 
> И время ответило на твои шаги."	"> Расстояние обрело смысл.
>
> И время ответило на твои шаги."	CHANGED
ru	outcome.success.easy.pool	6	"> Не всякий свет горит вечно.
> 
> Но этот миг — сиял."	"> Не всякому свету дано гореть вечно.
>
> Но этот миг действительно сиял."	CHANGED
ru	outcome.success.easy.pool	7	"Свет лёг ровно,
и все тени отступили."	"Свет лёг тихо и ровно,
и все тени отступили."	CHANGED
ru	outcome.success.easy.pool	8	"Ветер стих.
Всё вернулось на своё место."	"Ветер стих.
Всё снова стало на свои места."	CHANGED
ru	outcome.success.easy.pool	9	"Мгновение тишины.
Мир снова выровнял дыхание."	"Мгновение тишины.
Мир снова перевёл дыхание."	CHANGED
ru	outcome.success.easy.pool	10	"След глубоко врезался в песок —
там, куда не достанет ветер."	"След глубоко лёг в песок —
туда, куда уже не достанет ветер."	CHANGED
ru	outcome.success.easy.pool	11	"Равновесие вернулось.
Всё вело именно к этому мигу."	"Равновесие вернулось.
Всё вело именно к этому мигу."	UNCHANGED
ru	outcome.success.easy.pool	12	"Время тихо прошло мимо
и осталось в уголке памяти."	"Время тихо скользнуло мимо
и осело в уголке памяти."	CHANGED
ru	outcome.success.easy.pool	13	"Небо сменило цвет,
и одна история подошла к концу."	"Небо сменило цвет,
и одна история подошла к концу."	UNCHANGED
ru	outcome.success.easy.pool	14	"Волны улеглись,
и море снова спрятало свою глубину."	"Волны улеглись,
и море снова спрятало свою глубину."	UNCHANGED
ru	outcome.success.easy.pool	15	"Шаги остановились,
и осталось только это место."	"Шаги остановились,
и осталось лишь это место."	CHANGED
ru	outcome.success.easy.pool	16	"Победа и поражение —
в конце концов лишь песчинки."	"Победа и поражение —
в конце концов всего лишь песчинки."	CHANGED
ru	outcome.success.easy.pool	17	"Дорога продолжается — или обрывается здесь.
Так или иначе, она лежит на той же земле."	"Дорога продолжается — или заканчивается здесь.
В любом случае она лежит на той же земле."	CHANGED
ru	outcome.success.normal.pool	1	"Расстояние наконец обрело смысл.
Время ответило на твой путь."	"Расстояние наконец обрело смысл.
Время откликнулось на твой путь."	CHANGED
ru	outcome.success.normal.pool	2	"Время вышло.
Но не всё ещё окончено."	"Время вышло.
Но ещё не всё окончено."	CHANGED
ru	outcome.success.normal.pool	3	"Ось найдена.
Мир остановил своё движение."	"Ось найдена.
Мир замедлился и остановился."	CHANGED
ru	outcome.success.normal.pool	4	"Стекло затаило дыхание,
а ты удержал своё место."	"Стекло затаило дыхание,
а ты удержался на месте."	CHANGED
ru	outcome.success.normal.pool	5	"Под неподвижным небом
твой дух не дрогнул."	"Под неподвижным небом
ты не дрогнул."	CHANGED
ru	outcome.success.normal.pool	6	"Немногие вещи сияют вечно.
Но этот миг был ясен и светел."	"Мало что сияет вечно.
Но этот миг был чистым и светлым."	CHANGED
ru	outcome.success.normal.pool	7	"Ты прошёл по хрупкой земле
и не потерял взгляда."	"Ты прошёл по хрупкой земле
и не отвёл взгляда."	CHANGED
ru	outcome.success.normal.pool	8	"Мгновение прошло.
То, что осталось, всё ещё остаётся."	"Мгновение прошло.
Но то, что осталось, всё ещё здесь."	CHANGED
ru	outcome.success.normal.pool	9	"Удача быстро тускнеет.
Порядок остаётся."	"Удача быстро меркнет.
Порядок остаётся."	CHANGED
ru	outcome.success.normal.pool	10	"Небо не знает паузы в бесконечном круге,
и ты тоже не остановился."	"Небо не останавливается в своём бесконечном круге,
и ты тоже не остановился."	CHANGED
ru	outcome.success.normal.pool	11	"Ты достиг центра.
Мир замер."	"Ты дошёл до центра.
Мир замер."	CHANGED
ru	outcome.success.normal.pool	12	"Наконец — здесь.
Истина всё ещё тверда."	"Наконец — здесь.
Истина всё ещё непоколебима."	CHANGED
ru	outcome.success.normal.pool	13	"Ты дошёл до конца.
Запомни: этот путь выбрал ты, и никто другой."	"Ты дошёл до конца.
Запомни: этот путь выбрал ты, и никто другой."	UNCHANGED
ru	outcome.success.normal.pool	14	"Время скользнуло в тишину
и нашло место в глубине сердца."	"Время скользнуло в тишину
и нашло себе место глубоко внутри."	CHANGED
ru	outcome.success.normal.pool	15	"Пока небо меняло цвет,
история дошла до своего финала."	"Пока небо меняло цвет,
история подошла к своему финалу."	CHANGED
ru	outcome.success.normal.pool	16	"Вода успокоилась,
и небо снова прикрыло свою бездну."	"Воды улеглись,
и небо снова прикрыло свою бездну."	CHANGED
ru	outcome.success.normal.pool	17	"Шаги стихли,
и осталось только это место."	"Шаги стихли,
и осталось только это место."	UNCHANGED
ru	outcome.success.normal.pool	18	"Свет лёг ровно,
и все тени отступили."	"Свет лёг тихо и ровно,
и все тени отступили."	CHANGED
ru	outcome.success.normal.pool	19	"Ветер стих.
Всё вернулось на своё место."	"Ветер стих.
Всё снова стало на свои места."	CHANGED
ru	outcome.success.normal.pool	20	"Мгновение тишины.
Мир снова выровнял дыхание."	"Мгновение тишины.
Мир снова перевёл дыхание."	CHANGED
ru	outcome.success.normal.pool	21	"След глубоко врезался в песок —
там, куда не достанет ветер."	"След глубоко лёг в песок —
туда, куда уже не достанет ветер."	CHANGED
ru	outcome.success.normal.pool	22	"Равновесие вернулось.
Всё вело именно к этому мигу."	"Равновесие вернулось.
Всё вело именно к этому мигу."	UNCHANGED
ru	outcome.success.normal.pool	23	"Забег завершён.
Ясно. Найдено.
Этого достаточно."	"Забег завершён.
Ясно. Найдено.
Этого хватит."	CHANGED
ru	outcome.success.normal.pool	24	"Забег завершён.
Путь выдержал.
И ты тоже."	"Забег завершён.
Путь выдержал.
И ты выдержал."	CHANGED
ru	outcome.success.normal.pool	25	"Небо продолжало двигаться.
Ты тоже можешь."	"Небо продолжало двигаться.
Ты тоже можешь."	UNCHANGED
ru	outcome.success.normal.pool	26	"Забег завершён.
Тихий результат.
Вес настоящего труда."	"Забег завершён.
Тихий результат.
Вес настоящего труда."	UNCHANGED
ru	outcome.success.normal.pool	27	"Ты просто прошёл дорогой,
которую мир положил перед тобой."	"Ты просто прошёл дорогой,
которую мир расстелил перед тобой."	CHANGED
ru	outcome.success.normal.pool	28	"Земля не провалилась.
Она поверила твоим шагам."	"Земля не ушла из-под ног.
Она поверила твоим шагам."	CHANGED
ru	outcome.success.normal.pool	29	"Этот миг совпал
с древним ритмом звёзд."	"Этот миг совпал
с древним ритмом звёзд."	UNCHANGED
ru	outcome.success.normal.pool	30	"Ты ничего не забрал.
Ты что-то понял."	"Ты ничего не забрал.
Ты что-то понял."	UNCHANGED
ru	outcome.success.normal.pool	31	"Ты ничего не приобрёл.
Ты лишь увидел истину такой, какая она есть."	"Ты ничего не приобрёл.
Ты лишь увидел истину такой, какова она есть."	CHANGED
ru	outcome.success.normal.pool	32	"Ты не завоевал это место.
Ты всегда ему принадлежал."	"Ты не завоевал это место.
Ты с самого начала был его частью."	CHANGED
ru	outcome.success.normal.pool	33	"Ты прошёл дорогой,
что старше самой памяти."	"Ты прошёл дорогой,
что старше самой памяти."	UNCHANGED
ru	outcome.success.normal.pool	34	"Земля не сопротивлялась.
Она узнала тебя."	"Земля не сопротивлялась.
Она тебя узнала."	CHANGED
ru	outcome.success.normal.pool	35	"Этот миг совпал
с тишиной звёзд."	"Этот миг совпал
с тишиной звёзд."	UNCHANGED
ru	outcome.success.hard.pool	1	"В северном ветре
ясность переживает скорость."	"На северном ветру
ясность живёт дольше скорости."	CHANGED
ru	outcome.success.hard.pool	2	"Центр был найден.
Мир пришёл к покою."	"Центр был найден.
Мир пришёл к покою."	UNCHANGED
ru	outcome.success.hard.pool	3	"Даже там, где стекло готово треснуть,
ты не потерял направление."	"Даже там, где стекло было готово треснуть,
ты не потерял направление."	CHANGED
ru	outcome.success.hard.pool	4	"Холод поднимался от земли,
но твои шаги не рассыпались."	"Холод поднимался от земли,
но твои шаги не сбились."	CHANGED
ru	outcome.success.hard.pool	5	"Ветер пытался стереть следы.
Но путь уже запомнил тебя."	"Ветер пытался стереть следы.
Но путь уже успел тебя запомнить."	CHANGED
ru	outcome.success.hard.pool	6	"Ты дошёл туда,
где шум уже не имеет власти."	"Ты дошёл туда,
где шум уже не властен."	CHANGED
ru	outcome.success.hard.pool	7	"Не сила привела тебя сюда,
а выдержка."	"Тебя привела сюда не сила,
а выдержка."	CHANGED
ru	outcome.success.hard.pool	8	"Хрупкий мир не простил бы спешки.
Ты это понял."	"Хрупкий мир не простил бы спешки.
И ты это понял."	CHANGED
ru	outcome.success.hard.pool	9	"Свет дрожал,
но не погас."	"Свет дрожал,
но так и не погас."	CHANGED
ru	outcome.success.hard.pool	10	"Там, где всё могло исчезнуть,
ты остался."	"Там, где всё могло исчезнуть,
ты всё же остался."	CHANGED
ru	outcome.success.hard.pool	11	"Небо было далеко.
Земля была тонка.
И всё же ты прошёл."	"Небо было далеко.
Земля была тонка.
И всё же ты прошёл."	UNCHANGED
ru	outcome.success.hard.pool	12	"Ты не победил холод.
Ты научился идти сквозь него."	"Ты не победил холод.
Ты научился проходить сквозь него."	CHANGED
ru	outcome.success.hard.pool	13	"Забег завершён.
Трудный путь.
Настоящее доказательство."	"Забег завершён.
Трудный путь.
Настоящее доказательство."	UNCHANGED
ru	outcome.success.hard.pool	14	"Центр не звал громко.
Он ждал тихо."	"Центр не звал громко.
Он ждал тихо."	UNCHANGED
ru	outcome.success.hard.pool	15	"Твои шаги стали ответом
на вопрос, которого никто не произнёс."	"Твои шаги стали ответом
на вопрос, который никто не произнёс."	CHANGED
ru	outcome.success.hard.pool	16	"Путь был узким.
Решение — твоим."	"Путь был узким.
Решение — твоим."	UNCHANGED
ru	outcome.success.hard.pool	17	"Стекло помнило каждый шаг.
И не разбилось."	"Стекло помнило каждый шаг.
И не разбилось."	UNCHANGED
ru	outcome.success.hard.pool	18	"Ты прошёл не быстрее всех.
Ты прошёл точнее."	"Ты прошёл не быстрее всех.
Ты прошёл точнее всех."	CHANGED
ru	outcome.success.hard.pool	19	"Даже тишина
признала твой приход."	"Даже тишина
признала твой приход."	UNCHANGED
ru	outcome.success.hard.pool	20	"Мир остановился не сразу.
Но он остановился."	"Мир остановился не сразу.
Но всё же остановился."	CHANGED
ru	outcome.success.hard.pool	21	"Всё лишнее отпало.
Остался только путь."	"Всё лишнее отпало.
Остался только путь."	UNCHANGED
ru	outcome.success.hard.pool	22	"Ты дошёл до места,
где победа уже не шумит."	"Ты дошёл до места,
где победа уже не шумит."	UNCHANGED
ru	outcome.success.hard.pool	23	"Ни ветер, ни время
не смогли забрать этот след."	"Ни ветер, ни время
не смогли стереть этот след."	CHANGED
ru	outcome.success.hard.pool	24	"Ты не требовал ответа.
Но он пришёл."	"Ты не требовал ответа.
Но он пришёл."	UNCHANGED
ru	outcome.success.hard.pool	25	"То, что было хрупким,
выдержало вместе с тобой."	"То, что казалось хрупким,
выдержало вместе с тобой."	CHANGED
ru	outcome.success.hard.pool	26	"Забег завершён.
Свет остался.
След остался.
Ты остался."	"Забег завершён.
Свет остался.
След остался.
Ты остался."	UNCHANGED
ru	outcome.success.hard.pool	27	"Северный ветер стих не потому, что проиграл.
Он просто увидел достаточно."	"Северный ветер стих не потому, что проиграл.
Он просто увидел достаточно."	UNCHANGED
ru	outcome.success.hard.pool	28	"Ты прошёл через край карты
и всё же остался в мире."	"Ты прошёл через край карты
и всё же остался в мире."	UNCHANGED
ru	outcome.success.hard.pool	29	"В этом месте
даже молчание стало ясным."	"В этом месте
даже молчание стало ясным."	UNCHANGED
ru	outcome.success.hard.pool	30	"Дорога не стала легче.
Ты стал спокойнее."	"Дорога не стала легче.
Зато ты стал спокойнее."	CHANGED
ru	outcome.success.hard.pool	31	"Последний шаг был тихим.
Но именно он всё решил."	"Последний шаг был тихим.
Но именно он всё решил."	UNCHANGED
ru	outcome.success.hard.pool	32	"Там, где всё должно было рассыпаться,
появился порядок."	"Там, где всё должно было рассыпаться,
появился порядок."	UNCHANGED
ru	outcome.timeup.easy.pool	1	"Время вышло.
Но путь ещё помнит твои шаги."	"Время вышло.
Но путь всё ещё помнит твои шаги."	CHANGED
ru	outcome.timeup.easy.pool	2	"Ты не дошёл.
Но ты начал — и это уже след."	"Ты не дошёл.
Но ты начал — и это уже оставило след."	CHANGED
ru	outcome.timeup.easy.pool	3	"Песок принял результат
без упрёка."	"Песок принял этот результат
без упрёка."	CHANGED
ru	outcome.timeup.easy.pool	4	"Свет погас не сразу.
Он просто стал тише."	"Свет погас не сразу.
Он просто стал тише."	UNCHANGED
ru	outcome.timeup.easy.pool	5	"Ветер прошёл по следам,
но не всё смог стереть."	"Ветер прошёл по следам,
но не всё смог стереть."	UNCHANGED
ru	outcome.timeup.easy.pool	6	"Не каждый путь заканчивается находкой.
Некоторые учат слушать."	"Не всякий путь заканчивается находкой.
Некоторые учат слушать."	CHANGED
ru	outcome.timeup.easy.pool	7	"Мир не закрылся.
Он просто ждёт другой попытки."	"Мир не закрылся.
Он просто ждёт другой попытки."	UNCHANGED
ru	outcome.timeup.easy.pool	8	"Часы остановились.
Но движение внутри осталось."	"Часы остановились.
Но движение внутри осталось."	UNCHANGED
ru	outcome.timeup.easy.pool	9	"Сегодня дорога оборвалась.
Завтра она может открыться иначе."	"Сегодня дорога оборвалась.
Завтра она может открыться иначе."	UNCHANGED
ru	outcome.timeup.easy.pool	10	"Ты потерял время,
но не смысл."	"Ты потерял время,
но не смысл."	UNCHANGED
ru	outcome.timeup.easy.pool	11	"Поражение не громкое.
Оно просто просит вернуться внимательнее."	"Поражение не бывает громким.
Оно просто просит вернуться внимательнее."	CHANGED
ru	outcome.timeup.easy.pool	12	"Небо не отвернулось.
Оно только сменило цвет."	"Небо не отвернулось.
Оно только сменило цвет."	UNCHANGED
ru	outcome.timeup.easy.pool	13	"След короток,
но он настоящий."	"След короткий,
но настоящий."	CHANGED
ru	outcome.timeup.easy.pool	14	"Путь не исчез.
Он стал вопросом."	"Путь не исчез.
Он превратился в вопрос."	CHANGED
ru	outcome.timeup.easy.pool	15	"Время забрало попытку.
Опыт осталось."	"Время забрало попытку.
Опыт остался."	CHANGED
ru	outcome.timeup.easy.pool	16	"Конец забега —
не конец дороги."	"Конец забега —
ещё не конец дороги."	CHANGED
ru	outcome.timeup.normal.pool	1	"Время вышло.
Мир не сказал «нет» —
он сказал «ещё не сейчас»."	"Время вышло.
Мир не сказал «нет» —
он сказал «ещё не сейчас»."	UNCHANGED
ru	outcome.timeup.normal.pool	2	"Ты был близко.
Иногда близость тоже оставляет след."	"Ты был близко.
Иногда близость тоже оставляет след."	UNCHANGED
ru	outcome.timeup.normal.pool	3	"Путь не раскрылся полностью,
но направление стало яснее."	"Путь не раскрылся до конца,
но направление стало яснее."	CHANGED
ru	outcome.timeup.normal.pool	4	"Стекло дрогнуло,
и ты увидел, где оно тоньше."	"Стекло дрогнуло,
и ты увидел, где оно тоньше всего."	CHANGED
ru	outcome.timeup.normal.pool	5	"Неудача прошла тихо.
Но урок остался."	"Неудача прошла тихо.
Но урок остался."	UNCHANGED
ru	outcome.timeup.normal.pool	6	"Ветер унёс часть следов.
Остальные остались в тебе."	"Ветер унёс часть следов.
Остальные остались в тебе."	UNCHANGED
ru	outcome.timeup.normal.pool	7	"Этот забег не стал победой.
Он стал картой."	"Этот забег не стал победой.
Он стал картой."	UNCHANGED
ru	outcome.timeup.normal.pool	8	"Там, где ты остановился,
путь всё ещё дышит."	"Там, где ты остановился,
путь всё ещё дышит."	UNCHANGED
ru	outcome.timeup.normal.pool	9	"Время не простило задержки,
но запомнило попытку."	"Время не простило задержки,
но запомнило попытку."	UNCHANGED
ru	outcome.timeup.normal.pool	10	"Ты не дошёл до центра.
Но стал ближе к нему."	"Ты не дошёл до центра.
Но стал к нему ближе."	CHANGED
ru	outcome.timeup.normal.pool	11	"Забег окончен.
Ответ ещё впереди."	"Забег окончен.
Ответ ещё впереди."	UNCHANGED
ru	outcome.timeup.normal.pool	12	"Мир не рухнул.
Он просто не открылся до конца."	"Мир не рухнул.
Он просто не открылся до конца."	UNCHANGED
ru	outcome.timeup.normal.pool	13	"В этой тишине
есть место для следующего шага."	"В этой тишине
есть место для следующего шага."	UNCHANGED
ru	outcome.timeup.normal.pool	14	"Ты увидел предел.
Теперь знаешь, где его искать."	"Ты увидел предел.
Теперь знаешь, где его искать."	UNCHANGED
ru	outcome.timeup.normal.pool	15	"Не всё потеряно.
Некоторые вещи созревают после поражения."	"Не всё потеряно.
Некоторые вещи созревают уже после поражения."	CHANGED
ru	outcome.timeup.normal.pool	16	"Песок закрыл следы,
но не стер смысл."	"Песок закрыл следы,
но не стер смысл."	UNCHANGED
ru	outcome.timeup.normal.pool	17	"Небо осталось в движении.
И тебе ещё можно двигаться."	"Небо осталось в движении.
И тебе ещё можно двигаться."	UNCHANGED
ru	outcome.timeup.normal.pool	18	Сегодня путь оказался длиннее времени.	Сегодня путь оказался длиннее отведённого времени.	CHANGED
ru	outcome.timeup.normal.pool	19	"Неудача — это не пустота.
Это форма памяти."	"Неудача — не пустота.
Это тоже форма памяти."	CHANGED
ru	outcome.timeup.normal.pool	20	"Время вышло.
Но дорога ещё не отказалась от тебя."	"Время вышло.
Но дорога ещё не отказалась от тебя."	UNCHANGED
ru	outcome.timeup.hard.pool	1	"Время вышло.
Северный ветер оказался быстрее."	"Время вышло.
Северный ветер оказался быстрее."	UNCHANGED
ru	outcome.timeup.hard.pool	2	"Холод сомкнулся раньше,
чем путь открылся."	"Холод сомкнулся раньше,
чем путь успел открыться."	CHANGED
ru	outcome.timeup.hard.pool	3	"Ты не дошёл.
Но выдержал больше, чем казалось возможным."	"Ты не дошёл.
Но выдержал больше, чем казалось возможным."	UNCHANGED
ru	outcome.timeup.hard.pool	4	"Стекло треснуло вдалеке.
Мир напомнил о своей хрупкости."	"Стекло треснуло где-то вдали.
Мир напомнил о своей хрупкости."	CHANGED
ru	outcome.timeup.hard.pool	5	"Трудный путь не дал ответа.
Зато показал цену вопроса."	"Трудный путь не дал ответа.
Зато показал цену вопроса."	UNCHANGED
ru	outcome.timeup.hard.pool	6	"Ветер забрал следы,
но не забрал попытку."	"Ветер забрал следы,
но не забрал саму попытку."	CHANGED
ru	outcome.timeup.hard.pool	7	"Здесь поражение не кричит.
Оно стоит молча рядом."	"Здесь поражение не кричит.
Оно стоит молча рядом."	UNCHANGED
ru	outcome.timeup.hard.pool	8	"Ты встретил край.
Теперь знаешь, где он начинается."	"Ты встретил край.
Теперь знаешь, где он начинается."	UNCHANGED
ru	outcome.timeup.hard.pool	9	"Время закончилось.
Но ясность не исчезла."	"Время закончилось.
Но ясность не исчезла."	UNCHANGED
ru	outcome.timeup.hard.pool	10	"Холод победил этот забег,
но не твою способность вернуться."	"Холод победил этот забег,
но не твою способность вернуться."	UNCHANGED
ru	outcome.timeup.hard.pool	11	"Мир остался закрытым.
Пока."	"Мир остался закрытым.
Пока."	UNCHANGED
ru	outcome.timeup.hard.pool	12	"Каждый неверный шаг
стал частью будущей точности."	"Каждый неточный шаг
стал частью будущей точности."	CHANGED
ru	outcome.timeup.hard.pool	13	"Ты дошёл не до конца,
а до границы."	"Ты дошёл не до конца,
а до границы."	UNCHANGED
ru	outcome.timeup.hard.pool	14	"В этой неудаче
есть форма силы."	"В этой неудаче
есть форма силы."	UNCHANGED
ru	outcome.timeup.hard.pool	15	"Свет погас.
Но направление осталось."	"Свет погас.
Но направление осталось."	UNCHANGED
ru	outcome.timeup.hard.pool	16	Стеклянная земля не простила промедления.	Стеклянная земля не простила промедления.	UNCHANGED
ru	outcome.timeup.hard.pool	17	"Небо двигалось без остановки.
Ты остановился — чтобы понять."	"Небо двигалось без остановки.
Ты остановился — чтобы понять."	UNCHANGED
ru	outcome.timeup.hard.pool	18	"Не всякая попытка должна сиять.
Некоторые должны закалять."	"Не всякая попытка должна сиять.
Некоторые должны закалять."	UNCHANGED
ru	outcome.timeup.hard.pool	19	"Путь не был милосерден.
Но он был честен."	"Путь не был милосерден.
Но он был честен."	UNCHANGED
ru	outcome.timeup.hard.pool	20	"Сегодня центр остался недостижим.
Значит, он всё ещё ждёт."	"Сегодня центр остался недостижимым.
Значит, он всё ещё ждёт."	CHANGED
ru	outcome.timeup.hard.pool	21	"Северный ветер стёр карту.
Но не память."	"Северный ветер стёр карту.
Но не память."	UNCHANGED
ru	outcome.timeup.hard.pool	22	"Забег окончен.
Тишина тяжёлая,
но не пустая."	"Забег окончен.
Тишина тяжела,
но не пуста."	CHANGED
ru	outcome.timeup.hard.pool	23	"Время ушло.
След остался под песком."	"Время ушло.
След остался под песком."	UNCHANGED
ru	outcome.timeup.hard.pool	24	"Ты проиграл не миру,
а минутам."	"Ты проиграл не миру,
а минутам."	UNCHANGED
ru	outcome.timeup.hard.pool	25	"Хрупкая земля потребовала большего.
Теперь ты знаешь."	"Хрупкая земля потребовала большего.
Теперь ты это знаешь."	CHANGED
ru	outcome.timeup.hard.pool	26	"Поражение легло рядом,
как холодная тень."	"Поражение легло рядом,
как холодная тень."	UNCHANGED
ru	outcome.timeup.hard.pool	27	"Этот конец не красив.
Но он настоящий."	"Этот финал не красив.
Но он настоящий."	CHANGED
ru	outcome.timeup.hard.pool	28	"Мир не раскрылся.
Зато показал, где сопротивляется."	"Мир не раскрылся.
Зато показал, где сопротивляется."	UNCHANGED
ru	outcome.timeup.hard.pool	29	"Твои шаги оборвались.
Но путь не исчез."	"Твои шаги оборвались.
Но путь не исчез."	UNCHANGED
ru	outcome.timeup.hard.pool	30	"Ветер был суров.
И всё же ты шёл."	"Ветер был суров.
И всё же ты шёл."	UNCHANGED
ru	outcome.timeup.hard.pool	31	"Неудача здесь —
не стыд, а отметка глубины."	"Здесь неудача —
не стыд, а отметка глубины."	CHANGED
ru	outcome.timeup.hard.pool	32	"Попытка завершена.
След спрятан.
Возвращение возможно."	"Попытка завершена.
След скрыт.
Возвращение возможно."	CHANGED
ru	outcome.timeup.hard.pool	33	"Сегодня порядок не сложился.
Но его контур уже виден."	"Сегодня порядок не сложился.
Но его контур уже виден."	UNCHANGED
ru	outcome.timeup.hard.pool	34	"Там, где всё остановилось,
начинается следующая точность."	"Там, где всё остановилось,
начинается новая точность."	CHANGED
ru	outcome.timeup.hard.pool	35	"Время вышло.
Но это ещё не последнее слово."	"Время вышло.
Но это ещё не последнее слово."	UNCHANGED
ru	outcome.timeup.hard.pool	36	"Путь оказался жёстче надежды.
И всё же надежда осталась."	"Путь оказался жёстче надежды.
И всё же надежда осталась."	UNCHANGED
ru	outcome.timeup.hard.pool	37	"Тьма стала ближе.
Но свет не забыт."	"Тьма подошла ближе.
Но свет не забыт."	CHANGED
ru	outcome.timeup.hard.pool	38	"Этот забег ушёл в тишину.
Следующий начнётся с неё."	"Этот забег ушёл в тишину.
Следующий начнётся из неё."	CHANGED
